Date,entropy,synchronization,amplitude,psi,pressure,percentile,defensive_weight,risk_return,defensive_return,cesp_return,cesp_equity,risk_equity,defensive_equity,weight,date
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2015-01-02
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011974096039833324,0.0,-0.011974096039833324,0.9880259039601667,0.9880259039601667,1.0,0.0,2015-01-03
2015-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006675392220143067,0.0,-0.006675392220143067,0.9814304435275711,0.9814304435275711,1.0,0.0,2015-01-04
2015-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008994826868142965,0.009738301737235,-0.008994826868142965,0.9726026466049158,0.9726026466049158,1.009738301737235,0.0,2015-01-05
2015-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025559792466003373,0.00954879277221693,-0.0025559792466003373,0.970116694425005,0.970116694425005,1.019380083534694,0.0,2015-01-06
2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009836989601723571,-0.0010869493461717616,0.009836989601723571,0.9796597222605223,0.9796597222605223,1.0182720690193954,0.0,2015-01-07
2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006691967449776959,-0.004357616594972663,0.006691967449776959,0.9862155732337473,0.9862155732337473,1.0138348297532394,0.0,2015-01-08
2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014745067654497149,0.005694948537717848,-0.0014745067654497149,0.9847613916988223,0.9847613916988223,1.01960856693443,0.0,2015-01-09
2015-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005973205542272209,0.0,-0.005973205542272209,0.9788792094961112,0.9788792094961112,1.01960856693443,0.0,2015-01-10
2015-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003694048053794252,0.0,-0.003694048053794252,0.9752631826573724,0.9752631826573724,1.01960856693443,0.0,2015-01-11
2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006561878124366409,0.005081949818234066,-0.006561878124366409,0.9688636245135931,0.9688636245135931,1.024790166505832,0.0,2015-01-12
2015-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018599938133375755,0.00010514189195542922,-0.018599938133375755,0.950842821037962,0.950842821037962,1.024897914882796,0.0,2015-01-13
2015-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023009341634478788,0.0021360650983255902,-0.023009341634478788,0.928964553728008,0.928964553728008,1.0270871635481236,0.0,2015-01-14
2015-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013490957126996043,0.013181485488222733,0.013490957126996043,0.9414971746948516,0.9414971746948516,1.0406256980895732,0.0,2015-01-15
2015-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011796274971912232,-0.0006408829754622203,0.011796274971912232,0.9526033342528306,0.9526033342528306,1.039958778795839,0.0,2015-01-16
2015-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004718422236879152,0.0,-0.004718422236879152,0.9481085494975668,0.9481085494975668,1.039958778795839,0.0,2015-01-17
2015-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006177863826820247,0.0,0.006177863826820247,0.9539658350094068,0.9539658350094068,1.039958778795839,0.0,2015-01-18
2015-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002388730054255575,0.0,0.002388730054255575,0.9562446018702268,0.9562446018702268,1.039958778795839,0.0,2015-01-19
2015-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030621686635329518,0.008339890568446862,-0.0030621686635329518,0.9533164196157072,0.9533164196157072,1.0486319212066921,0.0,2015-01-20
2015-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012729369228068728,-0.004727400363397388,0.012729369228068728,0.9654515363121762,0.9654515363121762,1.0436746182813095,0.0,2015-01-21
2015-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011944086898912416,0.00424958555006652,0.011944086898912416,0.9769829733585773,0.9769829733585773,1.048109802858129,0.0,2015-01-22
2015-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003128890869624189,0.0053196899233037,-0.003128890869624189,0.9739261002534574,0.9739261002534574,1.0536854220149092,0.0,2015-01-23
2015-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00714152579024701,0.0,0.00714152579024701,0.9808814186162121,0.9808814186162121,1.0536854220149092,0.0,2015-01-24
2015-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026320011021019824,0.0,0.0026320011021019824,0.9834630995910413,0.9834630995910413,1.0536854220149092,0.0,2015-01-25
2015-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013521532139509204,-0.0042247132931634845,0.013521532139509204,0.9967610275001829,0.9967610275001829,1.0492339032057103,0.0,2015-01-26
2015-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008232226492821317,0.0012171996653872474,-0.008232226492821317,0.9885554649625842,0.9885554649625842,1.0505110303616054,0.0,2015-01-27
2015-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02471011056825116,0.00554590325623569,-0.02471011056825116,0.9641281501205098,0.9641281501205098,1.0563370629055995,0.0,2015-01-28
2015-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005200632631677804,-0.007720524269616891,0.005200632631677804,0.9691422264391457,0.9691422264391457,1.048181586974541,0.0,2015-01-29
2015-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0084667305921968,0.012492408064987193,-0.0084667305921968,0.9609367603023636,0.9609367603023636,1.0612758990852327,0.0,2015-01-30
2015-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004397334616259907,0.0,-0.004397334616259907,0.9567111998222494,0.9567111998222494,1.0612758990852327,0.0,2015-01-31
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004858017576341201,0.0,0.004858017576341201,0.9613589196464685,0.9613589196464685,1.0612758990852327,0.0,2015-02-01
2015-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014849458718028587,-0.003839851931866284,0.014849458718028587,0.9756345792369673,0.9756345792369673,1.057200756773887,0.0,2015-02-02
