strategy,cagr,volatility,sharpe,max_drawdown,calmar,observations,defensive_exposure,turnover
CESP,0.14599773311671327,0.15192753682657922,0.9733052902044251,-0.35945283644749104,0.40616659075394623,4264,0.09831848142054785,9.234267089839967
Risk equal-weight,0.14406539006944197,0.1797377834145872,0.839562135165604,-0.3959042348278011,0.3638894899219841,4264,,
Defensive equal-weight,0.0274698654903196,0.057767895164485446,0.49799948882043577,-0.1894861714545989,0.1449702913909019,4264,,
60_40,0.10074803922856113,0.10969366919617458,0.9302995877587759,-0.2507795301078154,0.4017394848185872,4264,,
SMA200 mix,0.10944177487065265,0.13932372488080594,0.8153961266302058,-0.35506668244016826,0.3082287927397821,4264,,
Vol-targeted mix,0.10837487783500621,0.10670395894545827,1.0179251201263881,-0.22091848269121217,0.49056501074419706,4264,,
Random exposure placebo,0.14592822877678024,0.17148896104279718,0.8810678686604269,-0.36463478750697365,0.40020380330274813,4264,,
