Date,SPY,QQQ,IWM,EFA,VNQ,XLE,DBC,BTC-USD,ETH-USD,TLT,IEF,GLD,UUP
2015-01-02,169.68785095214844,94.5611343383789,102.5431137084961,43.09861373901367,52.09074020385742,25.36513900756836,15.41232681274414,315.0320129394531,,91.93525695800781,81.74393463134766,114.08000183105469,20.21669578552246
2015-01-03,169.68785095214844,94.5611343383789,102.5431137084961,43.09861373901367,52.09074020385742,25.36513900756836,15.41232681274414,281.0820007324219,,91.93525695800781,81.74393463134766,114.08000183105469,20.21669578552246
2015-01-04,169.68785095214844,94.5611343383789,102.5431137084961,43.09861373901367,52.09074020385742,25.36513900756836,15.41232681274414,264.19500732421875,,91.93525695800781,81.74393463134766,114.08000183105469,20.21669578552246
2015-01-05,166.62332153320312,93.1740493774414,101.17220306396484,42.081268310546875,52.37581253051758,24.315832138061523,15.192513465881348,274.4739990234375,,93.3794174194336,82.24270629882812,115.80000305175781,20.25846290588379
2015-01-06,165.05393981933594,91.92476654052734,99.42192077636719,41.60460662841797,52.89533996582031,23.958620071411133,15.048789978027344,286.1889953613281,,95.06180572509766,82.79518127441406,117.12000274658203,20.300233840942383
2015-01-07,167.1106414794922,93.1097412109375,100.64627075195312,42.0670280456543,53.70629119873047,24.0096492767334,14.955791473388672,294.3370056152344,,94.87410736083984,82.77981567382812,116.43000030517578,20.37541961669922
2015-01-08,170.0760955810547,94.89183807373047,102.35343933105469,42.63618469238281,53.909053802490234,24.548654556274414,15.014973640441895,283.3489990234375,,93.61766815185547,82.44217681884766,115.94000244140625,20.458959579467773
2015-01-09,168.7131805419922,94.2672119140625,101.37051391601562,42.42987060546875,53.93436813354492,24.354101181030273,14.989607810974121,290.4079895019531,,94.6430435180664,82.8488998413086,117.26000213623047,20.3670654296875
2015-01-10,168.7131805419922,94.2672119140625,101.37051391601562,42.42987060546875,53.93436813354492,24.354101181030273,14.989607810974121,274.7959899902344,,94.6430435180664,82.8488998413086,117.26000213623047,20.3670654296875
2015-01-11,168.7131805419922,94.2672119140625,101.37051391601562,42.42987060546875,53.93436813354492,24.354101181030273,14.989607810974121,265.6600036621094,,94.6430435180664,82.8488998413086,117.26000213623047,20.3670654296875
2015-01-12,167.3915557861328,93.28429412841797,101.03424072265625,42.33027267456055,54.34618377685547,23.652437210083008,14.659886360168457,267.7959899902344,,95.18458557128906,83.1404800415039,118.55999755859375,20.3670654296875
2015-01-13,166.92068481445312,93.2567367553711,101.1118392944336,42.543701171875,54.26382827758789,23.464262008666992,14.6007080078125,225.86099243164062,,95.18458557128906,83.21721649169922,118.16000366210938,20.425546646118164
2015-01-14,165.91299438476562,92.74232482910156,100.70661163330078,42.422760009765625,54.732662200927734,23.537622451782227,14.761340141296387,178.10299682617188,,95.90673065185547,83.60089874267578,117.97000122070312,20.383773803710938
2015-01-15,164.39309692382812,91.53890228271484,99.00806427001953,42.69309616088867,54.859371185302734,23.237817764282227,14.558436393737793,209.843994140625,,97.41587829589844,84.31449127197266,120.94000244140625,20.450607299804688
2015-01-16,166.5489959716797,92.61370086669922,100.6203842163086,43.248016357421875,55.33452606201172,23.99370574951172,14.83742904663086,208.0970001220703,,96.17384338378906,83.6929702758789,122.5199966430664,20.54250144958496
2015-01-17,166.5489959716797,92.61370086669922,100.6203842163086,43.248016357421875,55.33452606201172,23.99370574951172,14.83742904663086,199.25999450683594,,96.17384338378906,83.6929702758789,122.5199966430664,20.54250144958496
2015-01-18,166.5489959716797,92.61370086669922,100.6203842163086,43.248016357421875,55.33452606201172,23.99370574951172,14.83742904663086,210.33900451660156,,96.17384338378906,83.6929702758789,122.5199966430664,20.54250144958496
2015-01-19,166.5489959716797,92.61370086669922,100.6203842163086,43.248016357421875,55.33452606201172,23.99370574951172,14.83742904663086,214.86099243164062,,96.17384338378906,83.6929702758789,122.5199966430664,20.54250144958496
2015-01-20,166.90420532226562,93.34860229492188,100.1978988647461,43.39740753173828,54.897377014160156,24.022403717041016,14.63452434539795,211.31500244140625,,97.45195770263672,83.88472747802734,124.19999694824219,20.626041412353516
2015-01-21,167.74671936035156,93.8262710571289,99.8788833618164,43.73890686035156,54.859371185302734,24.510379791259766,14.727523803710938,226.89700317382812,,96.32542419433594,83.48575592041016,124.2300033569336,20.567564010620117
2015-01-22,170.24130249023438,95.56243133544922,101.9136962890625,43.90253829956055,55.83503723144531,24.62518882751465,14.710613250732422,233.406005859375,,95.97886657714844,83.27855682373047,125.2300033569336,20.87666130065918
2015-01-23,169.307861328125,95.77368927001953,101.8447265625,43.653526306152344,55.67667007446289,24.449785232543945,14.617615699768066,232.87899780273438,,97.31473541259766,83.8233871459961,124.2300033569336,21.060447692871094
2015-01-24,169.307861328125,95.77368927001953,101.8447265625,43.653526306152344,55.67667007446289,24.449785232543945,14.617615699768066,247.8470001220703,,97.31473541259766,83.8233871459961,124.2300033569336,21.060447692871094
2015-01-25,169.307861328125,95.77368927001953,101.8447265625,43.653526306152344,55.67667007446289,24.449785232543945,14.617615699768066,253.71800231933594,,97.31473541259766,83.8233871459961,124.2300033569336,21.060447692871094
2015-01-26,169.70437622070312,95.66350555419922,102.8276596069336,44.25113296508789,56.145477294921875,24.800621032714844,14.566889762878418,273.4729919433594,,97.01866149902344,83.63157653808594,122.98999786376953,21.02703285217285
2015-01-27,167.4658966064453,93.18323516845703,102.33621978759766,44.3151741027832,56.16448211669922,24.784671783447266,14.64297866821289,263.4750061035156,,97.1703109741211,83.74668884277344,124.4000015258789,20.8265380859375
2015-01-28,165.31825256347656,92.70556640625,100.61178588867188,43.653526306152344,55.79069519042969,23.8087215423584,14.431620597839355,233.9149932861328,,98.75889587402344,84.39122009277344,123.41999816894531,20.951847076416016
2015-01-29,166.8463897705078,93.59661865234375,101.99991607666016,44.25113296508789,55.98709487915039,23.88844871520996,14.363985061645508,233.51300048828125,,98.10897827148438,84.09194946289062,120.76000213623047,20.96855354309082
2015-01-30,164.748291015625,92.87090301513672,99.75817108154297,43.55393981933594,54.834022521972656,24.09576988220215,14.710613250732422,226.4250030517578,,99.84929656982422,84.82860565185547,123.44999694824219,20.99361801147461
2015-01-31,164.748291015625,92.87090301513672,99.75817108154297,43.55393981933594,54.834022521972656,24.09576988220215,14.710613250732422,217.46400451660156,,99.84929656982422,84.82860565185547,123.44999694824219,20.99361801147461
2015-02-01,164.748291015625,92.87090301513672,99.75817108154297,43.55393981933594,54.834022521972656,24.09576988220215,14.710613250732422,226.9720001220703,,99.84929656982422,84.82860565185547,123.44999694824219,20.99361801147461
2015-02-02,166.78854370117188,93.67928314208984,100.67212677001953,44.08039474487305,54.68830490112305,24.832509994506836,14.913517951965332,238.22900390625,,99.47223663330078,84.72257232666016,122.41999816894531,20.951847076416016
2015-02-03,169.20045471191406,94.57949829101562,102.47413635253906,44.78471374511719,55.163482666015625,25.511838912963867,15.32778263092041,227.26800537109375,,97.3667984008789,84.00776672363281,121.05000305175781,20.709579467773438
2015-02-04,168.55625915527344,94.4968490600586,102.09476470947266,44.41476821899414,54.935394287109375,25.090850830078125,14.989607810974121,226.85299682617188,,97.53318786621094,84.14608001708984,121.58000183105469,20.834890365600586
2015-02-05,170.2577362060547,95.31438446044922,103.41398620605469,45.026607513427734,55.59429168701172,25.451251983642578,15.192513465881348,217.11099243164062,,96.46237182617188,83.83863067626953,121.79000091552734,20.684520721435547
2015-02-06,169.78697204589844,94.7356948852539,103.30187225341797,44.464569091796875,53.97873306274414,25.45762825012207,15.234786033630371,222.26600646972656,,94.75476837158203,82.90097045898438,118.63999938964844,20.93514060974121
2015-02-07,169.78697204589844,94.7356948852539,103.30187225341797,44.464569091796875,53.97873306274414,25.45762825012207,15.234786033630371,227.75399780273438,,94.75476837158203,82.90097045898438,118.63999938964844,20.93514060974121
2015-02-08,169.78697204589844,94.7356948852539,103.30187225341797,44.464569091796875,53.97873306274414,25.45762825012207,15.234786033630371,223.41200256347656,,94.75476837158203,82.90097045898438,118.63999938964844,20.93514060974121
2015-02-09,169.02706909179688,94.43252563476562,102.4827651977539,44.25113296508789,53.59859848022461,25.483144760131836,15.386962890625,220.11000061035156,,94.60285186767578,82.8625259399414,119.16999816894531,20.918432235717773
2015-02-10,170.82777404785156,95.90232849121094,103.13802337646484,44.65664291381836,53.76966094970703,25.470378875732422,15.192513465881348,219.83900451660156,,93.85035705566406,82.6550064086914,118.47000122070312,20.943492889404297
2015-02-11,170.9268798828125,96.25141143798828,102.99150848388672,44.41476821899414,53.61125564575195,25.291772842407227,15.074151992797852,219.18499755859375,,94.02404022216797,82.6242446899414,117.06999969482422,21.0186767578125
